bit_position,value,raw_input,model_result,model_raw,expected,expected_raw,match
0,-inf,1111110000000000,1.0,0011110000000000,nan,1111110000000001,False
0,-1024.0,1110010000000000,64500.0,0111101111100000,-1025.0,1110010000000001,False
0,-1023.0,1110001111111110,64500.0,0111101111100000,-1023.5,1110001111111111,False
0,-1022.0,1110001111111100,64500.0,0111101111100000,-1022.5,1110001111111101,False
0,-1021.0,1110001111111010,64500.0,0111101111100000,-1021.5,1110001111111011,False
1,-inf,1111110000000000,2.0,0100000000000000,nan,1111110000000010,False
1,-1024.0,1110010000000000,64500.0,0111101111100000,-1026.0,1110010000000010,False
1,-1023.0,1110001111111110,64500.0,0111101111100000,-1022.0,1110001111111100,False
1,-1022.0,1110001111111100,64500.0,0111101111100000,-1023.0,1110001111111110,False
1,-1021.0,1110001111111010,64500.0,0111101111100000,-1020.0,1110001111111000,False
2,-inf,1111110000000000,4.0,0100010000000000,nan,1111110000000100,False
2,-1024.0,1110010000000000,64500.0,0111101111100000,-1028.0,1110010000000100,False
2,-1023.0,1110001111111110,64500.0,0111101111100000,-1021.0,1110001111111010,False
2,-1022.0,1110001111111100,64500.0,0111101111100000,-1020.0,1110001111111000,False
2,-1021.0,1110001111111010,64500.0,0111101111100000,-1023.0,1110001111111110,False
3,-inf,1111110000000000,8.0,0100100000000000,nan,1111110000001000,False
3,-1024.0,1110010000000000,64500.0,0111101111100000,-1032.0,1110010000001000,False
3,-1023.0,1110001111111110,64500.0,0111101111100000,-1019.0,1110001111110110,False
3,-1022.0,1110001111111100,64500.0,0111101111100000,-1018.0,1110001111110100,False
3,-1021.0,1110001111111010,64500.0,0111101111100000,-1017.0,1110001111110010,False
4,-inf,1111110000000000,16.0,0100110000000000,nan,1111110000010000,False
4,-1024.0,1110010000000000,64500.0,0111101111100000,-1040.0,1110010000010000,False
4,-1023.0,1110001111111110,64540.0,0111101111100001,-1015.0,1110001111101110,False
4,-1022.0,1110001111111100,64540.0,0111101111100001,-1014.0,1110001111101100,False
4,-1021.0,1110001111111010,64540.0,0111101111100001,-1013.0,1110001111101010,False
5,-inf,1111110000000000,32.0,0101000000000000,nan,1111110000100000,False
5,-1024.0,1110010000000000,64540.0,0111101111100001,-1056.0,1110010000100000,False
5,-1023.0,1110001111111110,64540.0,0111101111100001,-1007.0,1110001111011110,False
5,-1022.0,1110001111111100,64540.0,0111101111100001,-1006.0,1110001111011100,False
5,-1021.0,1110001111111010,64540.0,0111101111100001,-1005.0,1110001111011010,False
6,-inf,1111110000000000,64.0,0101010000000000,nan,1111110001000000,False
6,-1024.0,1110010000000000,64580.0,0111101111100010,-1088.0,1110010001000000,False
6,-1023.0,1110001111111110,64580.0,0111101111100010,-991.0,1110001110111110,False
6,-1022.0,1110001111111100,64580.0,0111101111100010,-990.0,1110001110111100,False
6,-1021.0,1110001111111010,64580.0,0111101111100010,-989.0,1110001110111010,False
7,-inf,1111110000000000,128.0,0101100000000000,nan,1111110010000000,False
7,-1024.0,1110010000000000,64640.0,0111101111100100,-1152.0,1110010010000000,False
7,-1023.0,1110001111111110,64640.0,0111101111100100,-959.0,1110001101111110,False
7,-1022.0,1110001111111100,64640.0,0111101111100100,-958.0,1110001101111100,False
7,-1021.0,1110001111111010,64640.0,0111101111100100,-957.0,1110001101111010,False
8,-inf,1111110000000000,256.0,0101110000000000,nan,1111110100000000,False
8,-1024.0,1110010000000000,64770.0,0111101111101000,-1280.0,1110010100000000,False
8,-1023.0,1110001111111110,64770.0,0111101111101000,-895.0,1110001011111110,False
8,-1022.0,1110001111111100,64770.0,0111101111101000,-894.0,1110001011111100,False
8,-1021.0,1110001111111010,64770.0,0111101111101000,-893.0,1110001011111010,False
9,-inf,1111110000000000,512.0,0110000000000000,nan,1111111000000000,False
9,-1024.0,1110010000000000,65020.0,0111101111110000,-1536.0,1110011000000000,False
9,-1023.0,1110001111111110,65020.0,0111101111110000,-767.0,1110000111111110,False
9,-1022.0,1110001111111100,65020.0,0111101111110000,-766.0,1110000111111100,False
9,-1021.0,1110001111111010,65020.0,0111101111110000,-765.0,1110000111111010,False
10,-inf,1111110000000000,1024.0,0110010000000000,-32768.0,1111100000000000,False
10,-1024.0,1110010000000000,63500.0,0111101111000000,-512.0,1110000000000000,False
10,-1023.0,1110001111111110,63500.0,0111101111000000,-2046.0,1110011111111110,False
10,-1022.0,1110001111111100,63500.0,0111101111000000,-2044.0,1110011111111100,False
10,-1021.0,1110001111111010,63500.0,0111101111000000,-2042.0,1110011111111010,False
11,-inf,1111110000000000,2048.0,0110100000000000,-16384.0,1111010000000000,False
11,-1024.0,1110010000000000,62460.0,0111101110100000,-4096.0,1110110000000000,False
11,-1023.0,1110001111111110,62460.0,0111101110100000,-4092.0,1110101111111110,False
11,-1022.0,1110001111111100,62460.0,0111101110100000,-4088.0,1110101111111100,False
11,-1021.0,1110001111111010,62460.0,0111101110100000,-4084.0,1110101111111010,False
12,-inf,1111110000000000,4096.0,0110110000000000,-4096.0,1110110000000000,False
12,-1024.0,1110010000000000,60400.0,0111101101100000,-16384.0,1111010000000000,False
12,-1023.0,1110001111111110,60400.0,0111101101100000,-16368.0,1111001111111110,False
12,-1022.0,1110001111111100,60400.0,0111101101100000,-16352.0,1111001111111100,False
12,-1021.0,1110001111111010,60400.0,0111101101100000,-16336.0,1111001111111010,False
13,-inf,1111110000000000,8190.0,0111000000000000,-256.0,1101110000000000,False
13,-1024.0,1110010000000000,56320.0,0111101011100000,-4.0,1100010000000000,False
13,-1023.0,1110001111111110,56320.0,0111101011100000,-3.99609375,1100001111111110,False
13,-1022.0,1110001111111100,56320.0,0111101011100000,-3.9921875,1100001111111100,False
13,-1021.0,1110001111111010,56320.0,0111101011100000,-3.98828125,1100001111111010,False
14,-inf,1111110000000000,16380.0,0111010000000000,-1.0,1011110000000000,False
14,-1024.0,1110010000000000,48130.0,0111100111100000,-0.015625,1010010000000000,False
14,-1023.0,1110001111111110,48130.0,0111100111100000,-0.0156097412109375,1010001111111110,False
14,-1022.0,1110001111111100,48130.0,0111100111100000,-0.015594482421875,1010001111111100,False
14,-1021.0,1110001111111010,48130.0,0111100111100000,-0.0155792236328125,1010001111111010,False
15,-inf,1111110000000000,32770.0,0111100000000000,inf,0111110000000000,False
15,-1024.0,1110010000000000,31740.0,0111011111000000,1024.0,0110010000000000,False
15,-1023.0,1110001111111110,31740.0,0111011111000000,1023.0,0110001111111110,False
15,-1022.0,1110001111111100,31740.0,0111011111000000,1022.0,0110001111111100,False
15,-1021.0,1110001111111010,31740.0,0111011111000000,1021.0,0110001111111010,False
